"LBSV" "Res.Thresh.Dif" "correlation" "mean" "delta.mean"
"113" 975000 -2.3 0.713919758796692 0.477511879049676 -0.0420475161987041
"114" 997500 -2.3 0.710436105728149 0.478557235421166 -0.0410021598272138
"115" 1020000 -2.3 0.708912014961243 0.479516198704104 -0.0400431965442765
"116" 1042500 -2.3 0.707012116909027 0.480475161987041 -0.0390842332613391
"117" 1065000 -2.3 0.704228401184082 0.481127429805616 -0.0384319654427646
"118" 1087500 -2.3 0.703218817710876 0.481701943844492 -0.0378574514038877
"119" 1110000 -2.3 0.701789557933807 0.482060475161987 -0.0374989200863931
"120" 1132500 -2.3 0.699981153011322 0.482449244060475 -0.0371101511879049
"121" 1155000 -2.3 0.699190437793732 0.482816414686825 -0.0367429805615551
"122" 1177500 -2.3 0.697116434574127 0.483187904967603 -0.0363714902807775
"123" 1200000 -2.3 0.697215914726257 0.483369330453564 -0.0361900647948164
"124" 3e+05 -1.45 0.775244951248169 0.354565874730022 -0.164993520518359
"125" 322500 -1.45 0.811082899570465 0.364177105831533 -0.155382289416847
"126" 345000 -1.45 0.833957314491272 0.373261339092873 -0.146298056155508
"127" 367500 -1.45 0.845768332481384 0.381831533477322 -0.137727861771058
"128" 390000 -1.45 0.857381284236908 0.391002159827214 -0.128557235421166
"129" 412500 -1.45 0.862751603126526 0.397969762419007 -0.121589632829374
"130" 435000 -1.45 0.870692908763885 0.406012958963283 -0.113546436285097
"131" 457500 -1.45 0.875628173351288 0.413507559395248 -0.106051835853132
"132" 480000 -1.45 0.877644240856171 0.419792656587473 -0.0997667386609071
"133" 502500 -1.45 0.874504446983337 0.427563714902808 -0.0919956803455724
"134" 525000 -1.45 0.864290177822113 0.434250539956803 -0.0853088552915767
"135" 547500 -1.45 0.85298091173172 0.440177105831533 -0.0793822894168467
"136" 570000 -1.45 0.843583583831787 0.44554211663067 -0.0740172786177106
"137" 592500 -1.45 0.82872611284256 0.450911447084233 -0.0686479481641469
"138" 615000 -1.45 0.811836719512939 0.456211663066955 -0.0633477321814255
"139" 637500 -1.45 0.801783204078674 0.460496760259179 -0.0590626349892008
"140" 660000 -1.45 0.794836819171906 0.464323974082073 -0.0552354211663067
"141" 682500 -1.45 0.790365815162659 0.46741252699784 -0.0521468682505399
"142" 705000 -1.45 0.782564043998718 0.470777537796976 -0.0487818574514039
"143" 727500 -1.45 0.777944087982178 0.473909287257019 -0.0456501079913607
"144" 750000 -1.45 0.77373218536377 0.476380129589633 -0.0431792656587473
