"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"208" 2 5 0.887024164199829 0.459593952483801 -0.109961123110151
"209" 3 5 0.904927015304565 0.478565874730022 -0.0909892008639309
"210" 4 5 0.92632257938385 0.499006479481641 -0.070548596112311
"211" 5 5 0.943999588489532 0.512721382289417 -0.0568336933045356
"212" 6 5 0.952833533287048 0.526928725701944 -0.0426263498920086
"213" 7 5 0.959150016307831 0.538738660907127 -0.0308164146868251
"214" 8 5 0.977717399597168 0.550885529157667 -0.018669546436285
"215" 9 5 0.98471474647522 0.560444924406048 -0.00911015118790492
"216" 10 5 1 0.569555075593952 0
"217" 11 5 0.984707117080688 0.579494600431965 0.00993952483801297
"218" 12 5 0.977987110614777 0.588034557235421 0.0184794816414687
"219" 13 5 0.972791790962219 0.595049676025918 0.0254946004319655
"220" 14 5 0.971421301364899 0.601123110151188 0.0315680345572354
"221" 15 5 0.966946840286255 0.607788336933045 0.0382332613390929
"222" 16 5 0.959097802639008 0.612738660907127 0.043183585313175
"223" 17 5 0.956569135189056 0.617848812095032 0.0482937365010799
"224" 18 5 0.953165769577026 0.624090712742981 0.0545356371490281
"225" 19 5 0.949627935886383 0.628742980561555 0.0591879049676026
"226" 20 5 0.947325885295868 0.634 0.0644449244060475
"227" 21 5 0.947326838970184 0.639002159827214 0.0694470842332614
"228" 22 5 0.946964979171753 0.645062634989201 0.0755075593952484
"229" 23 5 0.949202120304108 0.64954211663067 0.0799870410367171
"230" 24 5 0.945983171463013 0.653226781857451 0.083671706263499
"231" 25 5 0.940144181251526 0.657939524838013 0.0883844492440605
"232" 26 5 0.937438905239105 0.661909287257019 0.092354211663067
"233" 27 5 0.932899475097656 0.665974082073434 0.0964190064794817
"234" 28 5 0.930679738521576 0.66977969762419 0.100224622030238
"235" 29 5 0.928635656833649 0.674129589632829 0.104574514038877
"236" 30 5 0.928490161895752 0.677676025917927 0.108120950323974
"237" 31 5 0.928339064121246 0.681352051835853 0.111796976241901
"238" 32 5 0.927400469779968 0.684483801295896 0.114928725701944
"239" 33 5 0.924309849739075 0.688254859611231 0.118699784017279
"240" 34 5 0.922928631305695 0.691360691144708 0.121805615550756
"241" 35 5 0.92365300655365 0.694920086393089 0.125365010799136
"242" 36 5 0.924148678779602 0.69897192224622 0.129416846652268
"243" 37 5 0.92387455701828 0.702622030237581 0.133066954643628
"244" 38 5 0.922046542167664 0.705602591792657 0.136047516198704
"245" 39 5 0.921985685825348 0.708060475161987 0.138505399568035
